,blast,rmsd
0,2bfd_ligand_4,30.731659728085912
1,6b7a_ligand_4,14.69470992201982
2,1iat_ligand_2,29.236180949746426
3,3i6c_ligand_9,35.35092841465098
4,3puv_ligand_3,111.65258872183902
5,4a5s_ligand_2,33.01430479406941
6,6u3a_ligand_7,36.472445308753294
7,6n7a_ligand_4,28.80721762947134
8,3e6j_ligand_1,27.366029465761567
9,5di7_ligand_4,36.54824545658171
10,5oug_ligand_6,41.95769202599386
11,5gt4_ligand_5,37.53371464067036
12,4f6h_ligand_5,25.65515419835119
13,6fs1_ligand_3,26.743165929017767
14,1ylt_ligand_2,28.68618573460055
15,2r3x_ligand_9,22.705669423466507
16,5t0p_ligand_2,28.087635644235586
17,6dun_ligand_5,6.549778571320815
18,4iz5_ligand_9,34.5322585228032
19,4o17_ligand_8,24.534518941530273
20,4lpk_ligand_8,15.087513960225523
21,4h8h_ligand_3,18.377575774114856
22,3rge_ligand_4,27.82700213821101
23,6enb_ligand_6,31.32140880669903
24,2vo0_ligand_2,30.729379947024174
25,4e5a_ligand_7,37.698221997671375
26,2g9a_ligand_9,19.262407517407233
27,2q7k_ligand_8,21.77285208694534
28,1d6w_ligand_2,30.275771028678236
29,1k4w_ligand_9,29.905680996760463
30,1o7o_ligand_7,74.55848615576036
31,3ddc_ligand_6,44.26894302152745
32,3wek_ligand_8,29.0448591566799
33,1n43_ligand_9,29.43141850232203
34,4w1v_ligand_9,31.144387977334834
35,3p6c_ligand_6,23.540887611214014
36,212l_ligand_9,15.001554276140856
37,5g03_ligand_1,26.750119572422268
38,6a89_ligand_8,29.47962529103788
39,4ael_ligand_8,42.01553436161805
40,1eie_ligand_8,25.280980316787122
41,1rlb_ligand_7,77.55690992895006
42,4ae9_ligand_9,30.966454609710137
43,2c1m_ligand_7,21.12946885194981
44,2cc6_ligand_5,16.330393845717563
45,1gii_ligand_8,14.100262634562391
46,5kao_ligand_6,26.017236689463306
47,6qpd_ligand_9,21.309968298636413
48,1cnj_ligand_4,25.62849444270966
49,1laf_ligand_3,18.897020176031283
50,5iwg_ligand_8,73.82268855107547
51,5e1s_ligand_6,22.695096611697554
52,2ow9_ligand_3,47.73793454170061
53,3ery_ligand_3,48.09994175672149
54,6gz9_ligand_9,39.26864397805201
55,3ao2_ligand_7,18.923948251582473
56,1cqs_ligand_2,30.675825045760305
57,4gm3_ligand_6,74.26790783261188
58,3rpm_ligand_6,73.97689266994121
59,1e4i_ligand_8,25.223935792277565
60,3d59_ligand_7,30.81235570595017
61,3m08_ligand_2,15.30659387322993
62,5khz_ligand_5,16.229530085618624
63,1slu_ligand_7,23.55925731002571
64,1yda_ligand_1,23.86241447601227
65,5qa4_ligand_1,40.26526724113476
66,3csi_ligand_4,33.141721762894136
67,5hz6_ligand_5,18.94323209558688
68,5dbm_ligand_6,14.424900248998203
69,2xwa_ligand_7,31.358916713311903
70,4oz4_ligand_1,29.16084137659093
71,5tjh_ligand_5,66.97030772346055
72,1irk_ligand_9,17.491083130310386
73,2v54_ligand_1,44.608759290989944
